col,Kingdom,Phylum,Class,Order,Family,Genus,Species,ID,i,Correlation,pval,pseudoF,permanova_pval,weight
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Flammeovirgaceae;g__;s__,k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Cytophagales,f__Flammeovirgaceae,g__,s__,V60,60,0.9991658243939117,0.5,37.28171611049831,0.5,1.0032840684156482e-6
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__,V61,61,0.9263887434236107,0.5,33.416456700338586,0.5,1.6663872836481737e-6
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae];g__Chryseobacterium;s__,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__[Weeksellaceae],g__Chryseobacterium,s__,V62,62,0.9991658243939117,0.5,37.28171611049831,0.5,1.0032840684156482e-6
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;__;__,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__Sphingobacteriaceae,__,__,V63,63,0.938093225350184,0.5,33.82190093112804,0.5,1.5434843215108853e-6
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__;s__,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__,s__,V64,64,0.9929424569372103,0.5,36.279407288132106,0.5,1.1133239540303753e-6
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;__,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Pedobacter,__,V65,65,0.8422424720802191,0.5,29.761604362297543,0.5,2.558887607366546e-6
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__;s__,k__Bacteria,p__Bacteroidetes,c__[Saprospirae],o__[Saprospirales],f__Chitinophagaceae,g__,s__,V66,66,0.9929424569372101,0.5,36.279407288132106,0.5,1.1133239540303753e-6
k__Bacteria;p__Chloroflexi;c__C0119;o__;f__;g__;s__,k__Bacteria,p__Chloroflexi,c__C0119,o__,f__,g__,s__,V67,67,0.9991658243939116,0.5,37.28171611049831,0.5,1.0032840684156482e-6
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2;f__;g__;s__,k__Bacteria,p__Cyanobacteria,c__4C0d-2,o__YS2,f__,g__,s__,V68,68,0.6775568783261464,0.5,55.33854259086576,0.5,2.1496489701929288e-4
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta;f__;g__;s__,k__Bacteria,p__Cyanobacteria,c__Chloroplast,o__Streptophyta,f__,g__,s__,V69,69,0.9991658243939117,0.5,37.28171611049831,0.5,1.0032840684156482e-6
k__Bacteria;p__Cyanobacteria;c__Nostocophycideae;o__Nostocales;f__Nostocaceae;__;__,k__Bacteria,p__Cyanobacteria,c__Nostocophycideae,o__Nostocales,f__Nostocaceae,__,__,V70,70,0.6291952781221405,0.5,25.238258407390532,0.5,1.4595284605043988e-5
k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae;o__Chroococcales;f__;g__;s__,k__Bacteria,p__Cyanobacteria,c__Oscillatoriophycideae,o__Chroococcales,f__,g__,s__,V71,71,0.8209157262559659,0.5,31.110694820478397,0.5,2.151812083316394e-6
k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales;f__Deferribacteraceae;g__Mucispirillum;s__schaedleri,k__Bacteria,p__Deferribacteres,c__Deferribacteres,o__Deferribacterales,f__Deferribacteraceae,g__Mucispirillum,s__schaedleri,V72,72,0.4212680686999026,0.5,7.5216712491223365,0.5,0.012354645029978704
