fold,seed,AUC,Accuracy,Kappa,AccuracyLower,AccuracyUpper,AccuracyNull,AccuracyPValue,McnemarPValue,Train_procrustedCorr,Test_procrustedCorr,Sensitivity,Specificity,Pos.Pred.Value,Neg.Pred.Value,Precision,Recall,F1,Prevalence,Detection.Rate,Detection.Prevalence,Balanced.Accuracy,numFeatures,TrainlogLoss,TrainAUC,TrainprAUC,TrainAccuracy,TrainKappa,TrainF1,TrainSensitivity,TrainSpecificity,TrainPos_Pred_Value,TrainNeg_Pred_Value,TrainPrecision,TrainRecall,TrainDetection_Rate,TrainBalanced_Accuracy,method,mtry,positiveClass,Labels
1,6,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.9452747145321109,0.9738304219557318,1,1,1,1,1,1,1,0.5,0.5,0.5,1,40,0.07216197135207977,1,0.852857142857143,1,1,1,1,1,1,1,1,1,0.45705494505494504,1,rf,2,C3H,True
2,6,1,1,1,0.6305833524471808,1,0.625,0.023283064365386956,NaN,0.9500531618537522,0.9739767179696425,1,1,1,1,1,1,1,0.375,0.375,0.375,1,43,0.07413811222341202,1,0.855952380952381,1,1,1,1,1,1,1,1,1,0.4713260073260073,1,rf,2,C3H,True
3,6,1,1,1,0.6637328831200571,1,0.5555555555555556,0.005041357015064845,NaN,0.946907340508076,0.9766211292583934,1,1,1,1,1,1,1,0.4444444444444444,0.4444444444444444,0.4444444444444444,1,43,0.07323520125265813,1,0.8535714285714286,1,1,1,1,1,1,1,1,1,0.4636776556776557,1,rf,2,C3H,True
4,6,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.9500512754838923,0.9662002390543137,1,1,1,1,1,1,1,0.5,0.5,0.5,1,44,0.07577672355333076,1,0.8553571428571429,1,1,1,1,1,1,1,1,1,0.457025641025641,1,rf,2,C3H,True
5,6,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.9553479173237862,0.9471965651467389,1,1,1,1,1,1,1,0.5,0.5,0.5,1,40,0.0704018968739161,1,0.8553571428571429,1,1,1,1,1,1,1,1,1,0.45705494505494504,1,rf,2,C3H,True
6,6,1,1,1,0.5903836027749966,1,0.5714285714285714,0.01989452888313056,NaN,0.9507714639252332,0.9666922002689632,1,1,1,1,1,1,1,0.42857142857142855,0.42857142857142855,0.42857142857142855,1,45,0.08052305155371377,1,0.8577380952380953,1,1,1,1,1,1,1,1,1,0.4647032967032967,1,rf,2,C3H,True
7,6,1,1,1,0.5903836027749966,1,0.5714285714285714,0.01989452888313056,NaN,0.9533895145627687,0.9847107292015924,1,1,1,1,1,1,1,0.42857142857142855,0.42857142857142855,0.42857142857142855,1,44,0.06905958269997796,1,0.8548809523809524,1,1,1,1,1,1,1,1,1,0.4647032967032967,1,rf,2,C3H,True
8,6,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.9483823627283654,0.9751283463549899,1,1,1,1,1,1,1,0.5,0.5,0.5,1,44,0.08051516009646806,1,0.8525,1,1,1,1,1,1,1,1,1,0.4570842490842491,1,rf,2,C3H,True
9,6,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.9499939989597882,0.9677473675224078,1,1,1,1,1,1,1,0.5,0.5,0.5,1,45,0.07486156696351584,1,0.8553571428571429,1,1,1,1,1,1,1,1,1,0.45706959706959704,1,rf,2,C3H,True
10,6,1,1,1,0.5903836027749966,1,0.5714285714285714,0.01989452888313056,NaN,0.9564909464722585,0.9722016271426589,1,1,1,1,1,1,1,0.42857142857142855,0.42857142857142855,0.42857142857142855,1,46,0.0764253812353292,1,0.8577380952380953,1,1,1,1,1,1,1,1,1,0.4646739926739927,1,rf,2,C3H,True
